# kushinagar001 (Up to date)
# 504 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
13.208,1016.375,1099.875,13.356,14.006,-9.861,9.864,72.045,0.037,72.045,89.971,4.216,0.269,26.74,83.888,2.975,-2.217e-5,10.909,-0.015,67.089,89.947,9739.826,1665.22,2.356,0.089,9.787,122.062,110.323,0.543,0,0,1.668,0.366,0.22,0.026,0.12,0.375,0.478,0.194,-2.608e-5,0,0,0,0,0.066,2.265,90,7.851,888.122,0.001,336.056,0.044,1.588e6,21.6,366.435,0.05,0.165,0.002
13.258,1017.03,1100.53,12.864,13.533,-9.849,9.852,72.255,0.037,72.255,89.971,4.203,0.267,26.74,83.888,3.177,-2.218e-5,11.132,-0.014,66.538,89.947,9739.826,1665.22,2.356,0.089,9.787,121.964,110.323,0.539,0,0,1.572,0.366,0.22,0.026,0.12,0.376,0.512,0.203,2.007e-4,0,0,0,0,0.073,2.249,90,7.847,888.052,0.001,336.054,0.043,1.54e6,21.6,366.435,0.05,0.165,0.002
13.308,1017.661,1101.161,12.372,13.062,-9.83,9.834,72.465,0.037,72.465,89.97,4.189,0.284,26.74,83.888,3.66,-2.217e-5,11.364,-0.012,65.976,89.947,9739.826,1665.22,2.356,0.089,9.787,121.733,110.323,0.528,0,0,1.493,0.366,0.22,0.026,0.12,0.379,0.595,0.233,-2.242e-4,0,0,0,0,0.081,2.302,90,7.842,887.985,0.001,336.051,0.042,1.495e6,21.6,366.435,0.05,0.166,0.002
13.358,1018.267,1101.767,11.88,12.593,-9.815,9.819,72.674,0.038,72.674,89.97,4.175,0.292,26.74,83.888,4.065,-2.217e-5,11.609,-0.011,65.402,89.947,9739.826,1665.22,2.356,0.089,9.787,121.542,110.323,0.519,0,0,1.412,0.366,0.22,0.026,0.12,0.382,0.665,0.255,-8.133e-5,0,0,0,0,0.09,2.32,90,7.839,887.921,0.001,336.049,0.04,1.448e6,21.6,366.435,0.05,0.166,0.002
13.408,1018.849,1102.349,11.39,12.126,-9.8,9.805,72.882,0.038,72.882,89.97,4.16,0.297,26.74,83.888,4.471,-2.217e-5,11.857,-0.01,64.815,89.947,9739.826,1665.22,2.356,0.089,9.787,121.354,110.323,0.511,0,0,1.333,0.366,0.22,0.026,0.12,0.385,0.737,0.276,-4.5e-4,0,0,0,0,0.1,2.325,90,7.835,887.859,0.001,336.047,0.039,1.402e6,21.6,366.435,0.05,0.166,0.002
13.458,1019.406,1102.906,10.901,11.662,-9.778,9.783,73.09,0.038,73.09,89.97,4.145,0.323,26.74,83.888,5.252,-2.217e-5,12.122,-0.009,64.216,89.947,9739.826,1665.22,2.356,0.089,9.787,121.002,110.323,0.494,0,0,1.276,0.366,0.22,0.026,0.12,0.391,0.877,0.322,1.824e-4,0,0,0,0,0.111,2.414,90,7.831,887.799,0.001,336.045,0.038,1.361e6,21.6,366.435,0.05,0.167,0.002
13.508,1019.939,1103.439,10.412,11.201,-9.761,9.767,73.297,0.038,73.297,89.97,4.128,0.334,26.74,83.888,5.854,-2.217e-5,12.403,-0.008,63.602,89.947,9739.826,1665.22,2.356,0.089,9.787,120.738,110.323,0.482,0,0,1.211,0.366,0.22,0.026,0.12,0.396,0.988,0.353,-2.115e-4,0,0,0,0,0.124,2.442,90,7.828,887.743,0.001,336.042,0.037,1.317e6,21.6,366.435,0.05,0.167,0.001
13.558,1020.448,1103.948,9.924,10.742,-9.751,9.757,73.503,0.039,73.503,89.97,4.112,0.331,26.74,83.888,6.257,-2.217e-5,12.679,-0.007,62.975,89.947,9739.826,1665.22,2.356,0.089,9.787,120.565,110.323,0.474,0,0,1.136,0.366,0.22,0.026,0.12,0.4,1.063,0.365,2.599e-5,0,0,0,0,0.14,2.403,90,7.824,887.689,0.001,336.04,0.035,1.27e6,21.6,366.435,0.05,0.167,0.001
13.608,1020.932,1104.432,9.437,10.287,-9.731,9.737,73.708,0.039,73.708,89.97,4.095,0.349,26.74,83.888,7.107,-2.217e-5,12.958,-0.006,62.334,89.948,9739.826,1665.22,2.356,0.089,9.787,120.21,110.323,0.458,0,0,1.085,0.366,0.22,0.026,0.12,0.408,1.224,0.405,4.492e-4,0,0,0,0,0.156,2.458,90,7.821,887.637,0.001,336.039,0.034,1.229e6,21.6,366.435,0.05,0.168,0.001
13.658,1021.391,1104.891,8.951,9.836,-9.725,9.731,73.912,0.039,73.912,89.97,4.077,0.337,26.74,83.888,7.454,-2.217e-5,13.23,-0.005,61.68,89.948,9739.826,1665.22,2.356,0.089,9.787,120.068,110.323,0.451,0,0,1.008,0.366,0.22,0.026,0.12,0.411,1.291,0.406,-4.155e-4,0,0,0,0,0.176,2.372,90,7.818,887.588,0.001,336.037,0.033,1.18e6,21.6,366.435,0.05,0.168,0.001
13.708,1021.827,1105.327,8.465,9.389,-9.711,9.717,74.116,0.039,74.116,89.97,4.061,0.341,26.74,83.888,8.168,-2.217e-5,13.489,-0.004,61.012,89.948,9739.826,1665.22,2.356,0.089,9.787,119.783,110.323,0.438,0,0,0.95,0.366,0.22,0.026,0.12,0.418,1.431,0.43,3.95e-7,0,0,0,0,0.197,2.355,90,7.815,887.542,0.001,336.035,0.032,1.136e6,21.6,366.435,0.05,0.168,0.001
13.758,1022.238,1105.738,7.98,8.946,-9.697,9.703,74.318,0.04,74.318,89.969,4.043,0.346,26.74,83.888,8.986,-2.217e-5,13.744,-0.003,60.331,89.948,9739.826,1665.22,2.356,0.089,9.787,119.466,110.323,0.423,0,0,0.896,0.366,0.22,0.026,0.12,0.426,1.595,0.454,-2.504e-4,0,0,0,0,0.221,2.34,90,7.813,887.498,0.001,336.033,0.03,1.093e6,21.6,366.435,0.05,0.169,0.001
13.808,1022.625,1106.125,7.495,8.508,-9.692,9.697,74.52,0.04,74.52,89.969,4.026,0.333,26.74,83.888,9.497,-2.217e-5,13.984,-0.002,59.638,89.949,9739.826,1665.22,2.356,0.089,9.787,119.274,110.323,0.414,0,0,0.827,0.366,0.22,0.026,0.12,0.43,1.699,0.453,-1.872e-4,0,0,0,0,0.251,2.231,90,7.81,887.457,0.001,336.032,0.029,1.044e6,21.6,366.435,0.05,0.169,0.001
13.858,1022.987,1106.487,7.011,8.076,-9.686,9.691,74.721,0.04,74.721,89.969,4.01,0.323,26.74,83.888,10.123,-2.218e-5,14.201,-7.299e-4,58.933,89.949,9739.826,1665.22,2.356,0.089,9.787,119.044,110.323,0.404,0,0,0.764,0.366,0.22,0.026,0.12,0.436,1.829,0.455,4.23e-4,0,0,0,0,0.284,2.125,90,7.808,887.418,0.001,336.03,0.028,9.961e5,21.6,366.435,0.05,0.169,0.001
13.908,1023.326,1106.826,6.527,7.652,-9.668,9.674,74.921,0.04,74.921,89.969,3.993,0.335,26.74,83.888,11.385,-2.218e-5,14.411,-2.843e-4,58.218,89.949,9739.826,1665.22,2.356,0.089,9.787,118.598,110.323,0.383,0,0,0.723,0.366,0.22,0.026,0.12,0.448,2.097,0.486,3.992e-4,0,0,0,0,0.317,2.129,90,7.806,887.382,0.001,336.029,0.027,9.569e5,21.6,366.435,0.05,0.17,0.001
13.958,1023.64,1107.14,6.043,7.235,-9.665,9.67,75.12,0.041,75.12,89.969,3.977,0.32,26.74,83.888,12.083,-2.219e-5,14.603,0.001,57.492,89.949,9739.826,1665.22,2.356,0.089,9.787,118.362,110.323,0.372,0,0,0.658,0.366,0.22,0.026,0.12,0.453,2.248,0.474,-1.322e-4,0,0,0,0,0.362,1.981,90,7.804,887.349,0.001,336.028,0.025,9.074e5,21.6,366.435,0.05,0.17,9.775e-4
14.008,1023.93,1107.43,5.561,6.827,-9.648,9.654,75.319,0.041,75.319,89.969,3.961,0.329,26.74,83.888,13.547,-2.218e-5,14.779,0.002,56.758,89.95,9739.826,1665.22,2.356,0.089,9.787,117.887,110.323,0.35,0,0,0.617,0.366,0.22,0.026,0.12,0.464,2.574,0.496,2.095e-6,0,0,0,0,0.405,1.958,90,7.802,887.318,0.001,336.027,0.024,8.684e5,21.6,366.435,0.05,0.171,9.262e-4
14.058,1024.196,1107.696,5.079,6.43,-9.616,9.623,75.516,0.041,75.516,89.969,3.944,0.364,26.74,83.888,15.807,-2.218e-5,14.955,0.001,56.014,89.95,9739.826,1665.22,2.356,0.089,9.787,117.21,110.323,0.319,0,0,0.592,0.366,0.22,0.026,0.12,0.474,3.098,0.546,-3.431e-4,0,0,0,0,0.442,2.065,90,7.8,887.29,0.001,336.026,0.023,8.412e5,21.6,366.435,0.05,0.171,8.763e-4
14.108,1024.438,1107.938,4.599,6.046,-9.577,9.586,75.713,0.041,75.713,89.969,3.924,0.405,26.74,83.888,18.377,-2.218e-5,15.138,6.15e-4,55.262,89.95,9739.826,1665.22,2.356,0.089,9.787,116.514,110.323,0.287,0,0,0.562,0.366,0.22,0.026,0.12,0.475,3.723,0.59,2.874e-5,0,0,0,0,0.477,2.204,90,7.798,887.264,0.001,336.025,0.023,8.193e5,21.6,366.435,0.05,0.172,8.283e-4
14.158,1024.656,1108.156,4.121,5.676,-9.559,9.568,75.909,0.042,75.909,89.969,3.904,0.411,26.74,83.888,20.367,-2.218e-5,15.308,9.509e-4,54.501,89.95,9739.826,1665.22,2.356,0.089,9.787,116.027,110.323,0.264,0,0,0.511,0.366,0.22,0.026,0.12,0.47,4.185,0.508,-2.804e-4,0,0,0,0,0.532,2.175,90,7.797,887.241,0.001,336.024,0.022,7.851e5,21.6,366.435,0.05,0.173,7.822e-4
14.208,1024.85,1108.35,3.643,5.325,-9.539,9.548,76.103,0.042,76.103,89.968,3.883,0.421,26.74,83.888,23.135,-2.218e-5,15.372,7.664e-4,53.733,89.95,9739.826,1665.22,2.356,0.089,9.787,115.416,110.323,0.236,0,0,0.473,0.366,0.22,0.026,0.12,0.458,4.59,-0.059,-1.662e-4,0,0,0,0,0.564,2.278,90,7.796,887.22,0.001,336.023,0.021,7.652e5,21.6,366.435,0.05,0.173,7.386e-4
14.258,1025.02,1108.52,3.167,4.994,-9.523,9.533,76.297,0.042,76.297,89.968,3.862,0.424,26.74,83.888,25.772,-2.218e-5,15.283,9.023e-4,52.966,89.95,9739.826,1665.22,2.356,0.089,9.787,114.902,110.323,0.212,0,0,0.427,0.366,0.22,0.026,0.12,0.441,5.002,-0.615,-1.417e-5,0,0,0,0,0.595,2.301,90,7.795,887.202,0.001,336.022,0.021,7.408e5,21.6,366.435,0.05,0.173,6.979e-4
14.308,1025.167,1108.667,2.691,4.69,-9.52,9.528,76.49,0.042,76.49,89.968,3.841,0.408,26.74,83.888,28.158,-2.218e-5,15.073,0.002,52.207,89.951,9739.826,1665.22,2.356,0.089,9.787,114.489,110.323,0.193,0,0,0.371,0.366,0.22,0.026,0.12,0.422,5.395,-1.141,3.498e-4,0,0,0,0,0.638,2.188,90,7.794,887.187,0.001,336.022,0.02,7.059e5,21.6,366.435,0.05,0.174,6.606e-4
14.358,1025.29,1108.79,2.215,4.416,-9.506,9.515,76.681,0.043,76.681,89.968,3.821,0.407,26.74,83.888,31.086,-2.219e-5,14.754,0.002,51.46,89.951,9739.826,1665.22,2.356,0.089,9.787,114.046,110.323,0.172,0,0,0.322,0.366,0.22,0.026,0.12,0.395,5.9,-1.766,1.275e-4,0,0,0,0,0.658,2.143,90,7.793,887.174,0.001,336.021,0.019,6.802e5,21.6,366.435,0.05,0.174,6.273e-4
14.408,1025.388,1108.888,1.74,4.18,-9.472,9.482,76.872,0.043,76.872,89.968,3.8,0.433,26.74,83.888,34.652,-2.218e-5,14.304,0.002,50.733,89.951,9739.826,1665.22,2.356,0.089,9.787,113.592,110.323,0.151,0,0,0.285,0.366,0.22,0.026,0.12,0.358,6.542,-2.488,6.522e-5,0,0,0,0,0.634,2.237,90,7.792,887.163,0.001,336.021,0.019,6.717e5,21.6,366.435,0.05,0.174,5.986e-4
14.458,1025.464,1108.964,1.267,3.985,-9.45,9.46,77.061,0.043,77.061,89.968,3.778,0.442,26.74,83.888,38.073,-2.218e-5,13.726,0.002,50.032,89.951,9739.826,1665.22,2.356,0.089,9.787,113.239,110.323,0.135,0,0,0.241,0.366,0.22,0.026,0.12,0.319,7.178,-3.19,-1.019e-4,0,0,0,0,0.616,2.206,90,7.792,887.155,0.001,336.021,0.018,6.539e5,21.6,366.435,0.05,0.175,5.751e-4
14.508,1025.515,1109.015,0.795,3.839,-9.432,9.442,77.25,0.043,77.25,89.968,3.756,0.446,26.74,83.888,41.646,-2.219e-5,13.049,0.002,49.362,89.951,9739.826,1665.22,2.356,0.089,9.787,112.949,110.323,0.122,0,0,0.197,0.366,0.22,0.026,0.12,0.278,7.856,-3.916,-1.498e-4,0,0,0,0,0.594,2.114,90,7.791,887.15,0.001,336.02,0.018,6.333e5,21.6,366.435,0.05,0.175,5.574e-4
14.558,1025.543,1109.043,0.323,3.749,-9.593,9.596,77.437,0.044,77.437,89.968,3.735,0.248,26.74,83.888,45.592,-2.219e-5,12.35,0.002,48.729,89.951,9739.826,1665.22,2.356,0.089,9.787,123.161,110.323,0.594,0,0,0.164,0.366,0.22,0.026,0.12,0.233,4.366,-1.581,-4.3e-4,0,0,0,0,0.535,2.159,90,7.791,887.147,0.001,336.02,0.018,6.311e5,21.6,366.435,0.05,0.175,5.463e-4
# Event APOGEE occurred at t=14.608 seconds
14.608,1025.547,1109.047,-0.156,3.726,-9.583,9.586,77.623,0.044,77.623,89.968,3.722,0.249,26.74,83.888,49.647,-2.219e-5,12.028,0.002,48.12,89.952,9739.826,1665.22,2.356,0.089,9.787,123.431,110.323,0.607,0,0,0.13,0.366,0.22,0.026,0.12,0.188,4.535,-1.938,1.298e-4,0,0,0,0,0.515,2.138,90,7.791,887.146,0.001,336.02,0.017,6.267e5,21.6,366.435,0.05,0.176,5.433e-4
14.658,1025.528,1109.028,-0.635,3.764,-9.563,9.566,77.809,0.044,77.809,89.967,3.71,0.262,26.74,83.888,53.658,-2.219e-5,11.641,0.002,47.528,89.952,9739.826,1665.22,2.356,0.089,9.787,123.64,110.323,0.617,0,0,0.105,0.366,0.22,0.026,0.12,0.147,4.722,-2.258,-3.15e-5,0,0,0,0,0.469,2.203,90,7.791,887.148,0.001,336.02,0.018,6.357e5,21.6,366.435,0.05,0.176,5.473e-4
14.708,1025.484,1108.984,-1.112,3.86,-9.535,9.539,77.994,0.044,77.994,89.967,3.696,0.283,26.74,83.888,57.445,-2.219e-5,11.178,0.002,46.957,89.952,9739.826,1665.22,2.356,0.089,9.787,123.795,110.323,0.624,0,0,0.085,0.366,0.22,0.026,0.12,0.112,4.917,-2.541,-9.473e-5,0,0,0,0,0.409,2.313,90,7.792,887.153,0.001,336.021,0.018,6.533e5,21.6,366.435,0.05,0.177,5.582e-4
14.758,1025.416,1108.916,-1.589,4.01,-9.521,9.525,78.179,0.045,78.179,89.967,3.682,0.289,26.74,83.888,61.437,-2.219e-5,10.647,0.002,46.411,89.952,9739.826,1665.22,2.356,0.089,9.787,124.142,110.323,0.64,0,0,0.061,0.366,0.22,0.026,0.12,0.081,5.07,-2.801,-3.951e-4,0,0,0,0,0.369,2.237,90,7.792,887.16,0.001,336.021,0.018,6.551e5,21.6,366.435,0.05,0.177,5.755e-4
14.808,1025.325,1108.825,-2.065,4.208,-9.51,9.514,78.362,0.045,78.362,89.967,3.667,0.292,26.74,83.888,65.607,-2.219e-5,10.07,0.002,45.893,89.952,9739.826,1665.22,2.356,0.089,9.787,124.578,110.323,0.66,0,0,0.04,0.366,0.22,0.026,0.12,0.053,5.205,-3.034,1.224e-4,0,0,0,0,0.331,2.094,90,7.793,887.17,0.001,336.021,0.018,6.543e5,21.6,366.435,0.05,0.177,5.988e-4
14.858,1025.21,1108.71,-2.539,4.448,-9.477,9.483,78.545,0.045,78.545,89.967,3.652,0.319,26.74,83.888,69.083,-2.219e-5,9.428,0.002,45.405,89.952,9739.826,1665.22,2.356,0.089,9.787,124.773,110.323,0.669,0,0,0.028,0.366,0.22,0.026,0.12,0.035,5.38,-3.227,4.061e-4,0,0,0,0,0.272,2.139,90,7.793,887.182,0.001,336.022,0.019,6.76e5,21.6,366.435,0.05,0.178,6.271e-4
14.908,1025.071,1108.571,-3.012,4.721,-9.447,9.453,78.727,0.045,78.727,89.967,3.635,0.342,26.74,83.888,72.586,-2.219e-5,8.707,0.002,44.951,89.952,9739.826,1665.22,2.356,0.089,9.787,125.031,110.323,0.681,0,0,0.018,0.366,0.22,0.026,0.12,0.021,5.538,-3.397,-1.118e-4,0,0,0,0,0.22,2.118,90,7.794,887.197,0.001,336.022,0.019,6.943e5,21.6,366.435,0.05,0.178,6.598e-4
14.958,1024.909,1108.409,-3.484,5.023,-9.416,9.423,78.909,0.046,78.909,89.967,3.618,0.367,26.74,83.888,76.049,-2.219e-5,7.915,0.002,44.535,89.952,9739.826,1665.22,2.356,0.089,9.787,125.316,110.323,0.694,0,0,0.01,0.366,0.22,0.026,0.12,0.011,5.687,-3.544,-4.578e-4,0,0,0,0,0.172,2.065,90,7.795,887.214,0.001,336.023,0.02,7.126e5,21.6,366.435,0.05,0.178,6.961e-4
15.008,1024.723,1108.223,-3.953,5.346,-9.36,9.369,79.089,0.046,79.089,89.967,3.598,0.416,26.74,83.888,78.532,-2.219e-5,7.019,0.002,44.161,89.953,9739.826,1665.22,2.356,0.089,9.787,125.308,110.323,0.694,0,0,0.006,0.366,0.22,0.026,0.12,0.007,5.882,-3.688,3.462e-5,0,0,0,0,0.123,2.182,90,7.797,887.234,0.001,336.024,0.021,7.487e5,21.6,366.435,0.05,0.179,7.354e-4
15.058,1024.513,1108.013,-4.42,5.686,-9.311,9.322,79.269,0.046,79.269,89.967,3.576,0.457,26.74,83.888,81.305,-2.218e-5,6.008,0.002,43.835,89.953,9739.826,1665.22,2.356,0.089,9.787,125.437,110.323,0.7,0,0,0.003,0.366,0.22,0.026,0.12,0.003,6.05,-3.817,-1.479e-4,0,0,0,0,0.084,2.191,90,7.798,887.256,0.001,336.024,0.022,7.769e5,21.6,366.435,0.05,0.179,7.771e-4
15.108,1024.281,1107.781,-4.884,6.039,-9.255,9.269,79.447,0.046,79.447,89.966,3.552,0.506,26.74,83.888,83.833,-2.219e-5,4.879,0.002,43.563,89.953,9739.826,1665.22,2.356,0.089,9.787,125.514,110.323,0.703,0,0,0.001,0.366,0.22,0.026,0.12,0.001,6.224,-3.94,-4.696e-4,0,0,0,0,0.051,2.213,90,7.799,887.281,0.001,336.025,0.022,8.079e5,21.6,366.435,0.05,0.179,8.207e-4
15.158,1024.025,1107.525,-5.346,6.404,-9.202,9.219,79.624,0.047,79.624,89.966,3.526,0.552,26.74,83.888,86.546,-2.217e-5,3.629,0.002,43.349,89.953,9739.826,1665.22,2.356,0.089,9.787,125.683,110.323,0.711,0,0,2.391e-4,0.366,0.22,0.026,0.12,1.945e-4,6.378,-4.049,3.663e-4,0,0,0,0,0.026,2.168,90,7.801,887.308,0.001,336.026,0.023,8.35e5,21.6,366.435,0.05,0.18,8.658e-4
15.208,1023.746,1107.246,-5.805,6.777,-9.156,9.175,79.799,0.047,79.799,89.966,3.497,0.593,26.74,83.888,89.528,-2.22e-5,2.275,0.002,43.201,89.953,9739.826,1665.22,2.356,0.089,9.787,125.968,110.323,0.724,0,0,6.665e-7,0.366,0.22,0.026,0.12,5.133e-7,6.503,-4.134,2.401e-4,0,0,0,0,0.01,2.045,90,7.803,887.338,0.001,336.027,0.024,8.581e5,21.6,366.435,0.05,0.18,9.123e-4
15.258,1023.445,1106.945,-6.261,7.156,-9.079,9.104,79.973,0.047,79.973,89.966,3.466,0.663,26.74,83.888,91.528,-2.217e-5,0.778,0.002,43.124,89.953,9739.826,1665.22,2.356,0.089,9.787,125.943,110.323,0.723,0,0,-2.426e-5,0.366,0.22,0.026,0.12,-1.717e-5,6.692,-4.26,4.277e-4,0,0,0,0,0.001,2.092,90,7.805,887.37,0.001,336.029,0.025,8.951e5,21.6,366.435,0.05,0.18,9.597e-4
15.308,1023.12,1106.62,-6.713,7.539,-9.016,9.045,80.146,0.047,80.146,89.966,3.431,0.722,26.74,83.888,94.063,-2.217e-5,-0.871,0.002,43.126,89.953,9739.826,1665.22,2.356,0.089,9.787,126.122,110.323,0.731,0,0,-4.739e-4,0.366,0.22,0.026,0.12,-3.144e-4,6.833,-4.349,-4.684e-4,0,0,0,0,-0.001,2.017,90,7.807,887.404,0.001,336.03,0.026,9.245e5,21.6,366.435,0.05,0.181,0.001
15.358,1022.773,1106.273,-7.162,7.925,-8.938,8.973,80.316,0.048,80.316,89.966,3.393,0.797,26.74,83.888,96.19,-2.217e-5,-2.676,0.002,43.214,89.954,9739.826,1665.22,2.356,0.089,9.787,126.18,110.323,0.734,0,0,-0.002,0.366,0.22,0.026,0.12,-0.001,7,-4.444,-9.03e-5,0,0,0,0,-0.011,2.009,90,7.809,887.441,0.001,336.031,0.027,9.592e5,21.6,366.435,0.05,0.181,0.001
15.408,1022.404,1105.904,-7.607,8.312,-8.844,8.889,80.485,0.048,80.485,89.966,3.351,0.891,26.74,83.888,97.94,-2.216e-5,-4.672,0.002,43.397,89.954,9739.826,1665.22,2.356,0.089,9.787,126.123,110.323,0.731,0,0,-0.004,0.366,0.22,0.026,0.12,-0.002,7.194,-4.546,2.302e-4,0,0,0,0,-0.031,2.066,90,7.812,887.481,0.001,336.033,0.028,9.986e5,21.6,366.435,0.05,0.181,0.001
15.458,1022.013,1105.513,-8.046,8.698,-8.751,8.806,80.651,0.048,80.652,89.966,3.304,0.989,26.74,83.888,99.812,-2.212e-5,-6.87,0.002,43.685,89.954,9739.826,1665.22,2.356,0.089,9.787,126.124,110.323,0.732,0,0,-0.008,0.366,0.22,0.026,0.12,-0.004,7.373,-4.618,3.217e-5,0,0,0,0,-0.061,2.097,90,7.814,887.522,0.001,336.034,0.029,1.036e6,21.6,366.435,0.05,0.182,0.001
15.508,1021.599,1105.099,-8.482,9.084,-8.662,8.73,80.815,0.048,80.815,89.966,3.252,1.087,26.74,83.888,101.889,-2.21e-5,-9.26,0.002,44.087,89.954,9739.826,1665.22,2.356,0.089,9.787,126.216,110.323,0.736,0,0,-0.015,0.366,0.22,0.026,0.12,-0.007,7.528,-4.652,4.208e-4,0,0,0,0,-0.104,2.089,90,7.817,887.566,0.001,336.036,0.03,1.072e6,21.6,366.435,0.05,0.182,0.001
15.558,1021.165,1104.665,-8.913,9.469,-8.594,8.674,80.977,0.049,80.977,89.966,3.196,1.173,26.74,83.888,104.507,-2.212e-5,-11.791,0.002,44.613,89.954,9739.826,1665.22,2.356,0.089,9.787,126.529,110.323,0.75,0,0,-0.027,0.366,0.22,0.026,0.12,-0.013,7.618,-4.605,2.752e-4,0,0,0,0,-0.16,1.972,90,7.82,887.612,0.001,336.038,0.031,1.102e6,21.6,366.435,0.05,0.182,0.001
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=15.608 seconds
15.608,1020.708,1104.208,-9.341,9.853,-6.27,6.549,81.135,0.049,81.135,89.965,3.135,1.894,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,38.923,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.897,90,7.823,887.661,0.001,336.039,0.032,1.135e6,21.6,366.435,0.153,0.183,0.001
15.761,1019.209,1102.709,-10.298,10.684,-5.635,5.956,81.591,0.05,81.591,89.965,2.845,1.931,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,44.616,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.947,90,7.832,887.82,0.001,336.045,0.034,1.215e6,21.6,366.435,0.168,0.183,0.001
15.929,1017.401,1100.901,-11.244,11.523,-4.978,5.309,82.042,0.05,82.042,89.965,2.521,1.847,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,50.188,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8,90,7.844,888.013,0.001,336.052,0.036,1.289e6,21.6,366.435,0.188,0.183,0.002
16.117,1015.194,1098.694,-12.182,12.374,-4.252,4.608,82.484,0.051,82.484,89.964,2.173,1.776,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,56.628,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.738,90,7.858,888.247,0.001,336.061,0.038,1.369e6,21.6,366.435,0.217,0.183,0.002
16.334,1012.451,1095.951,-13.105,13.226,-3.483,3.85,82.914,0.052,82.914,89.964,1.788,1.64,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,63.451,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.623,90,7.876,888.539,0.001,336.072,0.04,1.449e6,21.6,366.435,0.26,0.183,0.002
16.594,1008.929,1092.429,-14.009,14.075,-2.646,3.076,83.323,0.053,83.323,89.964,1.362,1.57,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,71.226,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.721,90,7.899,888.914,0.001,336.086,0.043,1.536e6,21.6,366.435,0.325,0.183,0.002
16.919,1004.236,1087.736,-14.869,14.894,-1.796,2.315,83.683,0.054,83.683,89.963,0.852,1.461,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,79.132,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.869,90,7.93,889.413,0.001,336.104,0.045,1.619e6,21.6,366.435,0.432,0.183,0.002
17.351,997.644,1081.144,-15.645,15.647,-0.993,1.587,83.915,0.055,83.915,89.963,0.221,1.238,26.74,83.888,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.787,0,110.323,-5.108,0,0,86.506,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.986,90,7.973,890.114,0.001,336.13,0.047,1.693e6,21.6,366.435,0.5,0.183,0.002
